spoid,name,type
SCH22748400,American University in Bulgaria,Academic
STB50431,American University in Cairo,Student Branch
SCH50431,American University in Cairo,Academic
STB64071,American University in Dubai,Student Branch
SCH64071,American University in Dubai,Academic
SBA64071,"American University in Dubai, WIE",Affinity
SCH41544310,American University in London,Academic
SCH60128484,American University in the Emirates,Academic
SCH41635616,American University of Acapulco B.C.,Academic
SCH60098771,American University of Armenia,Academic
SCH60201546,American University of Bahrain,Academic
SCH60204526,American University of Bahrain,Academic
STB60201546,American University of Bahrain-Riffa,Student Branch
SCH05101,American University of Beirut,Academic
STB05101,American University of Beirut,Student Branch
SBC05101B,"American University of Beirut, EMB18",Student Branch Chapter
SBC05101A,"American University of Beirut, RA24",Student Branch Chapter
SBA05101S,"American University of Beirut, SIGHT",Affinity
SBA05101,"American University of Beirut, WIE",Affinity
SCH15371,American University of Kuwait,Academic
STB15371,American University of Kuwait,Student Branch
SCH60098460,American University of Madaba,Academic
STB60098460,American University of Madaba,Student Branch
SCH08271,American University of Nigeria,Academic
1-80F51HK,American University of Ras Al Khaimah,Academic
SBC071911,"American University of Science and Tech, EMB018",Student Branch Chapter
SCH07191,American University of Science and Technology,Academic
STB07191,American University of Science and Technology,Student Branch
SCH61191,American University of Sharjah,Academic
STB61191,American University of Sharjah,Student Branch
SBC611911,"American University of Sharjah, C16",Student Branch Chapter
SBC61191D,"American University of Sharjah, COM19",Student Branch Chapter
SBC61191A,"American University of Sharjah, EMB18",Student Branch Chapter
SBA61191S,"American University of Sharjah, SIGHT",Affinity
SBC61191B,"American University of Sharjah, SSC37",Student Branch Chapter
SBA61191,"American University of Sharjah, WIE",Affinity
SBC61191C,"American University of Sharjah,RA24",Student Branch Chapter
SCH60219658,American University of Technology,Academic
STB60219658,American University of Technology,Student Branch
SCH60096131,American University of the Middle East,Academic
A8361,American University- Washington,Academic
STB08271,American University-Nigeria,Student Branch
SCH40003361,Americas Intl Univ Of The San Jose,Academic
A2743,Amherst College,Academic
SCH41313496,Amirkabir Univ Of Technology-Tafresh,Academic
