issue,unit_spoid,unit_name,unit_type,unit_status,related_spoid,related_name,related_type,related_status
parent does not list unit as child,SBA10045S,Universidad de las Americas-Quito SB SIGHT,Affinity,Active,C-SIGHTSC,IEEE SIGHT Steering Committee,Committee,Active
parent does not list unit as child,SBC10045B,"Universidad de las Americas-Quito,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC10045,"Universidad de las Americas-Quito,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC10045A,"Universidad de las Americas-Quito,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBA10045,"Universidad de las Americas-Quito,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA63741S,Universidad de las Fuerzas Armadas - ESPE SB SIGHT,Affinity,Active,C-SIGHTSC,IEEE SIGHT Steering Committee,Committee,Active
parent does not list unit as child,SBA63741,"Universidad de las Fuerzas Armadas - ESPE, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC63741E,"Universidad de las Fuerzas Armadas - ESPE,AES10",Student Branch Chapter,Active,AES010,IEEE Aerospace and Electronic Systems Society,Society,Active
parent does not list unit as child,SBC63741C,"Universidad de las Fuerzas Armadas - ESPE,CIS11",Student Branch Chapter,Active,CIS011,IEEE Computational Intelligence Society,Society,Active
parent does not list unit as child,SBC63741B,"Universidad de las Fuerzas Armadas - ESPE,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC63741D,"Universidad de las Fuerzas Armadas - ESPE,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBC63741A,"Universidad de las Fuerzas Armadas - ESPE,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC63741F,"Universidad de las Fuerzas Armadas - ESPE,SP01",Student Branch Chapter,Active,SP001,IEEE Signal Processing Society,Society,Active
parent does not list unit as child,SBA12991,"Universidad de los Andes, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC12991K,"Universidad de los Andes,AES10",Student Branch Chapter,Active,AES010,IEEE Aerospace and Electronic Systems Society,Society,Active
parent does not list unit as child,SBC12991H,"Universidad de los Andes,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC12991B,"Universidad de los Andes,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC12991A,"Universidad de los Andes,CS23",Student Branch Chapter,Active,CS023,IEEE Control Systems Society,Society,Active
parent does not list unit as child,SBC12991M,"Universidad de los Andes,E25",Student Branch Chapter,Active,E025,IEEE Education Society,Society,Active
parent does not list unit as child,SBC12991J,"Universidad de los Andes,ED15",Student Branch Chapter,Active,ED015,IEEE Electron Devices Society,Society,Active
parent does not list unit as child,SBC12991L,"Universidad de los Andes,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBC12991G,"Universidad de los Andes,IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC12991F,"Universidad de los Andes,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC12991O,"Universidad de los Andes,PEL35",Student Branch Chapter,Active,PEL035,IEEE Power Electronics Society,Society,Active
parent does not list unit as child,SBC12991I,"Universidad de los Andes,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC12991P,"Universidad de los Andes,SSC37",Student Branch Chapter,Active,SSC037,IEEE Solid-State Circuits Society,Society,Active
parent does not list unit as child,SBC12991N,"Universidad de los Andes,VT06",Student Branch Chapter,Active,VT006,IEEE Vehicular Technology Society,Society,Active
parent does not list unit as child,SBC17851,"Universidad de Los Andes-Merida,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC14941B,"Universidad de Monterrey, EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBC14941A,"Universidad de Monterrey, RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC14941D,"Universidad de Monterrey,CAS04",Student Branch Chapter,Active,CAS004,IEEE Circuits and Systems Society,Society,Active
parent does not list unit as child,SBA14941,"Universidad de Monterrey,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC45891747A,"Universidad De Montevideo,COM19/C16",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC45891747A,"Universidad De Montevideo,COM19/C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC45891747,"Universidad De Montevideo,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBA64151,"Universidad de Narino, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC64151A,"Universidad de Narino,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC64591,"Universidad de Oviedo, IA34/PEL35/PE31",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC64591,"Universidad de Oviedo, IA34/PEL35/PE31",Student Branch Chapter,Active,PEL035,IEEE Power Electronics Society,Society,Active
parent does not list unit as child,SBC64591,"Universidad de Oviedo, IA34/PEL35/PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC60171,"Universidad de Panama,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC60171B,"Universidad de Panama,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC60171A,"Universidad de Panama,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBA60171,"Universidad de Panama,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,STB10065,Universidad de Piura - Sede Lima,Student Branch,Active,R90721,Peru Section,Section,Active
parent does not list unit as child,SCH10065,Universidad de Piura - Sede Lima,Academic,Active,R90721,Peru Section,Section,Active
parent does not list unit as child,SBC10065,"Universidad de Piura - Sede Lima, IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBA10065,"Universidad de Piura - Sede Lima, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC10065B,"Universidad de Piura - Sede Lima,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC60621,"Universidad de Piura, IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC60621A,"Universidad de Piura, PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC60621B,"Universidad de Piura, RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBA60621,"Universidad de Piura, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC60621D,"Universidad de Piura,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC60621C,"Universidad de Piura,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SCH62571,Universidad de San Buenaventura,Academic,Active,R90705,Colombia Section,Section,Active
parent does not list unit as child,SBC07901A,"Universidad de San Buenaventura - Cali,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC07901B,"Universidad de San Buenaventura - Cali,ED15",Student Branch Chapter,Active,ED015,IEEE Electron Devices Society,Society,Active
parent does not list unit as child,SBC62571,"Universidad de San Buenaventura,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC6257D,"Universidad de San Buenaventura,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBC6257C,"Universidad de San Buenaventura,IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC6257A,"Universidad de San Buenaventura,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBA62571,"Universidad de San Buenaventura,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC17091G,"Universidad de San Carlos de Guatemala,AES10",Student Branch Chapter,Active,AES010,IEEE Aerospace and Electronic Systems Society,Society,Active
parent does not list unit as child,SBC17091,"Universidad de San Carlos de Guatemala,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC17091D,"Universidad de San Carlos de Guatemala,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
